passer,Expected Passing Touchdowns,Actual Passing Touchdowns
A. Beck,0.01052853232,0
A.Dalton,24.80086783,16
A.McCarron,1.97480439,0
A.Rodgers,28.07675122,26
A.Tanney,0.005060198918,0
B.Allen,4.372646725,3
B.Bortles,0.009385110351,0
B.Hoyer,4.567723172,4
B.Hundley,0.4487432047,0
B.Mayfield,26.97482362,22
B.Roethlisberger,1.794131569,0
C.Daniel,2.04237621,3
C.Keenum,12.9014428,11
C.McCoy,0.1789614465,0
C.Newton,2.293830225,0
C.Wentz,24.6310742,27
D.Blough,6.398643681,4
D.Brees,19.27435292,27
D.Carr,23.63927067,21
D.Haskins,9.297202361,7
D.Hodges,5.094224129,5
D.Jones,19.0868152,24
D.Lock,7.568659319,7
D.Prescott,20.76888327,30
D.Watson,22.83308128,26
E.Manning,4.660078184,6
G.Minshew II,21.60390417,21
J.Allen,20.26817065,20
J.Brissett,19.82615636,18
J.Driskel,3.76213361,4
J.Flacco,12.1499034,6
J.Garoppolo,27.98524785,27
J.Goff,25.36138397,22
J.McCown,1.709337067,0
J.Rosen,2.681236682,1
J.Stidham,0.05299746134,0
J.Winston,27.49763347,33
K.Allen,23.74604852,17
K.Cousins,21.82099812,26
K.Murray,24.68153341,20
L.Falk,1.12840597,0
L.Jackson,22.26923678,36
M.Barkley,1.362493411,0
M.Glennon,0.2269275988,1
M.Mariota,5.041514279,7
M.Moore,3.936037088,4
M.Rudolph,9.958150431,13
M.Ryan,24.92187719,26
M.Schaub,2.92950947,3
M.Stafford,14.56247769,19
M.Trubisky,20.82133023,17
N.Foles,2.626056901,3
P.Mahomes,28.29390528,26
P.Rivers,28.15289858,23
R.Finley,2.486521159,2
R.Fitzpatrick,20.57271024,20
R.Griffin III,2.220755316,1
R.Tannehill,15.84684156,22
R.Wilson,26.85038755,31
S.Darnold,17.51821824,19
S.Mannion,0.9375042675,0
T.Brady,31.83297665,24
T.Bridgewater,9.021401734,9
T.Hill,0.2489577099,0
T.Siemian,0.03564902419,0
T.Taylor,0.3294506349,1
W.Grier,2.129901819,0
